Row Labels,Sum of Area,Sum of Total Population,Sum of Urban Population ,Average of Growth Rate,Count of % SC Population,Count of % St Population,Average of literacy rate,Average of literacy rate- Male,Average of literacy rate- Female,Sum of Districts: Districts
2015-16,3287240,1210193.44,937.18,19.03085714,35,35,78.64885714,85.27171429,71.46771429,680
Andaman & Nicobar Islands     ,8249,379.94,30.58,6.68,1,1,86.27,90.11,81.84,3
Andhra Pradesh                ,275045,84665.53,24.58,11.1,1,1,67.66,75.56,59.74,13
Arunachal Pradesh,83743,1382.61,16.48,25.92,1,1,66.95,73.69,59.57,20
Assam,78438,31169.27,11.03,16.93,1,1,73.18,78.81,67.27,27
Bihar,94163,103804.64,8.36,25.07,1,1,63.82,73.39,53.33,38
Chandigarh,114,1054.69,76.66,17.1,1,1,86.43,90.54,81.38,1
Chhattisgarh,135191,25540.2,16.39,22.59,1,1,71.04,81.45,60.59,27
Dadra & Nagar Haveli          ,491,342.85,14.72,55.5,1,1,77.65,86.46,65.93,1
Daman & Diu                   ,112,242.91,23.61,53.54,1,1,87.07,91.48,79.59,2
Delhi                         ,1483,16753.24,77.03,20.96,1,1,86.34,91.03,80.93,9
Goa                           ,3702,1457.72,46,8.17,1,1,87.4,92.81,81.84,2
Gujarat,196024,60383.63,31.35,19.17,1,1,79.31,87.23,70.73,33
Haryana,44212,25353.08,24.12,19.9,1,1,76.64,85.38,66.77,21
Himachal Pradesh,55673,6856.51,8.69,12.81,1,1,83.78,90.83,76.6,12
Jammu And Kashmir,222236,12548.93,20.05,23.71,1,1,68.74,78.26,58.01,22
Jharkhand,79714,32966.24,18.18,22.34,1,1,67.63,78.45,56.21,24
Karnataka,191791,61130.7,29.38,15.67,1,1,75.6,82.85,68.13,34
Kerala,38863,33387.68,24.76,4.86,1,1,93.91,96.02,91.98,14
Lakshadweep                   ,32,64.43,41.86,6.23,1,1,92.28,96.11,88.25,1
MADHYA PRADESH,308245,72597.57,21.99,20.3,1,1,70.63,80.53,60.02,51
Maharashtra,307713,112372.97,36.58,15.99,1,1,82.91,89.82,75.48,36
Manipur,22327,2721.76,21.16,18.65,1,1,79.85,86.49,73.17,9
Meghalaya                     ,22429,2964.01,15.32,27.82,1,1,75.48,77.17,73.78,11
Mizoram                       ,21081,1091.01,40.42,22.78,1,1,91.58,93.72,89.4,8
Nagaland,16579,1980.6,17.31,-0.47,1,1,80.11,83.29,76.69,11
Odisha,155707,41947.36,13.15,13.97,1,1,73.45,82.4,64.36,30
Puducherry,479,1244.46,52.12,27.72,1,1,86.55,92.12,81.22,4
Punjab,50362,27704.24,29.82,13.73,1,1,76.68,81.48,71.34,22
Rajasthan                     ,342239,68621.01,19.26,21.44,1,1,67.06,80.51,52.66,33
Sikkim,7096,607.69,9.85,12.36,1,1,82.2,87.29,76.43,4
Tamil Nadu,130058,72138.96,38.1,15.6,1,1,80.33,86.81,73.86,30
Telangana,,,,,,,,,,10
Tripura,10486,3671.03,14.87,14.75,1,1,87.75,92.18,83.15,8
Uttar Pradesh,240928,199581.48,17.31,20.09,1,1,69.72,79.24,59.26,75
Uttarakhand,53483,10116.75,21.54,19.17,1,1,79.63,88.33,70.7,13
West Bengal                   ,88752,91347.74,24.55,13.93,1,1,77.08,82.67,71.16,21
Grand Total,3287240,1210193.44,937.18,19.03085714,35,35,78.64885714,85.27171429,71.46771429,680
